team,team_id,year,conference,games_played,expected_wins,wins,losses,home_wins,home_losses,away_wins,away_losses
Colorado State,36,2017,Mountain West,13,7.3,7,6,4,2,3,2
Connecticut,41,2017,American Athletic,12,2.5,3,9,2,4,1,4
Duke,150,2017,ACC,13,7.4,7,6,4,3,2,3
East Carolina,151,2017,American Athletic,12,3.1,3,9,2,5,1,4
Eastern Michigan,2199,2017,Mid-American,12,5.5,5,7,3,2,2,5
Florida,57,2017,SEC,11,3.6,4,7,3,3,1,2
Florida Atlantic,2226,2017,Conference USA,14,10.8,11,3,7,1,4,2
Florida International,2229,2017,Conference USA,13,7.0,8,5,5,1,2,3
Florida State,52,2017,ACC,13,6.7,7,6,3,3,3,2
Fresno State,278,2017,Mountain West,14,9.9,10,4,5,1,4,3
Georgia,61,2017,SEC,15,12.3,13,2,6,0,4,1
Georgia Southern,290,2017,Sun Belt,12,3.2,2,10,1,3,1,6
Georgia State,2247,2017,Sun Belt,12,5.9,7,5,1,4,5,1
Georgia Tech,59,2017,ACC,11,5.9,5,6,5,1,0,4
Hawai'i,62,2017,Mountain West,12,3.9,3,9,2,4,1,5
Houston,248,2017,American Athletic,12,8.3,7,5,4,2,3,2
Illinois,356,2017,Big Ten,12,2.1,2,10,2,5,0,5
Indiana,84,2017,Big Ten,12,5.6,5,7,3,3,2,4
Iowa,2294,2017,Big Ten,13,7.9,8,5,5,2,2,3
Iowa State,66,2017,Big 12,13,8.5,8,5,3,3,5,2
Kansas,2305,2017,Big 12,12,1.6,1,11,1,6,0,5
Kansas State,2306,2017,Big 12,13,6.4,8,5,4,3,3,2
Kent State,2309,2017,Mid-American,12,1.9,2,10,2,3,0,7
Kentucky,96,2017,SEC,13,7.3,7,6,4,3,3,2
Louisiana,309,2017,Sun Belt,12,4.8,5,7,3,2,2,5
Louisiana Monroe,2433,2017,Sun Belt,12,3.6,4,8,2,3,2,5
Louisiana Tech,2348,2017,Conference USA,13,8.1,7,6,3,4,3,2
Louisville,97,2017,ACC,13,9.1,8,5,4,2,3,2
LSU,99,2017,SEC,13,9.3,9,4,5,1,3,2
Marshall,276,2017,Conference USA,13,8.1,8,5,4,2,3,3
Maryland,120,2017,Big Ten,12,3.1,4,8,2,4,2,4
Memphis,235,2017,American Athletic,13,9.1,10,3,7,1,3,2
Miami,2390,2017,ACC,13,8.6,10,3,7,1,3,1
Miami (OH),193,2017,Mid-American,12,7.1,5,7,3,3,2,4
Michigan,130,2017,Big Ten,13,8.0,8,5,4,2,3,2
Michigan State,127,2017,Big Ten,13,9.4,10,3,6,1,3,2
