team,abbreviation,team_id,conference,stadium_capacity,latitude,longitude,logo
Florida Atlantic,FAU,2226,American Athletic,29419.0,26.3763763,-80.1015759,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png
Florida International,FIU,2229,Conference USA,20000.0,25.7525014,-80.3778912,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png
Florida State,FSU,52,ACC,79560.0,30.4381692,-84.3044032,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
Fresno State,FRES,278,Mountain West,41031.0,36.8143527,-119.7580092,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png
Georgia,UGA,61,SEC,92746.0,33.9498197,-83.3733813,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png
Georgia Southern,GASO,290,Sun Belt,25000.0,32.4122471,-81.7849296,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png
Georgia State,GAST,2247,Sun Belt,25000.0,33.735267,-84.389949,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png
Georgia Tech,GT,59,ACC,55000.0,33.7724449,-84.3928054,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png
Hawai'i,HAW,62,Mountain West,9000.0,21.294294,-157.819338,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
Houston,HOU,248,Big 12,40000.0,29.7219885,-95.3491623,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png
Illinois,ILL,356,Big Ten,60670.0,40.0993268,-88.2359569,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png
Indiana,IND,84,Big Ten,52656.0,39.1808959,-86.5256217,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png
Iowa,IOWA,2294,Big Ten,69250.0,41.6586045,-91.5510829,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
Iowa State,ISU,66,Big 12,61500.0,42.0139977,-93.6357716,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png
