year,team,conference,passing_usage,rushing_usage,usages
2017,LSU,SEC,0.898,0.7,0.685
2017,Marshall,Conference USA,1.0,0.989,0.74
2017,Maryland,Big Ten,0.311,0.554,0.422
2017,Memphis,American Athletic,0.935,0.921,0.9
2017,Miami,ACC,0.013,0.558,0.324
2017,Miami (OH),Mid-American,0.85,0.883,0.854
2017,Michigan,Big Ten,0.972,0.569,0.619
2017,Michigan State,Big Ten,0.269,0.795,0.441
2017,Middle Tennessee,Conference USA,0.99,0.367,0.724
2017,Minnesota,Big Ten,0.053,0.802,0.511
2017,Mississippi State,SEC,0.872,0.756,0.758
2017,Missouri,SEC,0.974,0.836,0.881
2017,Navy,American Athletic,0.25,0.313,0.295
2017,NC State,ACC,1.0,0.444,0.72
2017,Nebraska,Big Ten,0.017,0.349,0.241
2017,Nevada,Mountain West,0.43,0.307,0.382
2017,New Mexico,Mountain West,0.429,0.679,0.615
2017,New Mexico State,Sun Belt,0.991,0.659,0.835
2017,North Carolina,ACC,0.029,0.063,0.127
2017,Northern Illinois,Mid-American,0.406,0.399,0.399
2017,North Texas,Conference USA,0.607,0.498,0.477
2017,Northwestern,Big Ten,0.992,0.991,0.872
2017,Notre Dame,FBS Independents,0.012,0.501,0.388
2017,Ohio,Mid-American,0.372,0.714,0.51
2017,Ohio State,Big Ten,0.979,0.79,0.766
2017,Oklahoma,Big 12,0.975,0.26,0.526
2017,Oklahoma State,Big 12,0.99,0.601,0.762
2017,Old Dominion,Conference USA,0.06,0.845,0.536
2017,Ole Miss,SEC,0.331,0.414,0.369
2017,Oregon,Pac-12,0.627,0.87,0.658
2017,Oregon State,Pac-12,0.541,0.721,0.636
2017,Penn State,Big Ten,0.993,0.996,0.925
2017,Pittsburgh,ACC,0.022,0.452,0.365
2017,Purdue,Big Ten,0.983,0.93,0.779
2017,Rice,Conference USA,0.164,0.427,0.313
2017,Rutgers,Big Ten,0.537,0.582,0.532
2017,San Diego State,Mountain West,0.992,0.407,0.609
2017,San José State,Mountain West,0.175,0.293,0.325
2017,SMU,American Athletic,0.934,0.919,0.891
2017,South Alabama,Sun Belt,0.989,0.596,0.628
2017,South Carolina,SEC,0.49,0.686,0.695
2017,Southern Mississippi,Conference USA,0.123,0.893,0.578
2017,South Florida,American Athletic,0.991,0.645,0.731
2017,Stanford,Pac-12,1.0,0.455,0.65
2017,Syracuse,ACC,0.949,0.911,0.805
2017,TCU,Big 12,0.89,0.783,0.872
2017,Temple,American Athletic,0.025,0.53,0.429
2017,Tennessee,SEC,0.048,0.247,0.247
2017,Texas,Big 12,0.974,0.326,0.639
2017,Texas A&M,SEC,0.235,0.744,0.466
2017,Texas State,Sun Belt,0.004,0.085,0.238
2017,Texas Tech,Big 12,0.1,0.66,0.402
2017,Toledo,Mid-American,0.995,0.362,0.606
2017,Troy,Sun Belt,1.0,0.997,0.986
2017,Tulane,American Athletic,1.0,0.795,0.862
2017,Tulsa,American Athletic,0.009,0.46,0.299
2017,UCF,American Athletic,0.738,0.582,0.684
2017,UCLA,Pac-12,0.48,0.932,0.67
2017,UMass,FBS Independents,0.996,0.833,0.848
2017,UNLV,Mountain West,0.693,0.789,0.773
2017,USC,Pac-12,0.787,0.743,0.67
2017,Utah,Pac-12,1.0,0.531,0.673
2017,Utah State,Mountain West,1.0,0.772,0.744
2017,UTEP,Conference USA,0.979,0.328,0.582
2017,UT San Antonio,Conference USA,0.854,0.538,0.712
2017,Vanderbilt,SEC,0.969,0.904,0.943
2017,Virginia,ACC,0.845,0.155,0.551
2017,Virginia Tech,ACC,0.008,0.366,0.249
2017,Wake Forest,ACC,0.901,0.954,0.947
2017,Washington,Pac-12,0.986,0.977,0.872
2017,Washington State,Pac-12,0.996,0.982,0.847
2017,Western Kentucky,Conference USA,0.905,0.44,0.558
2017,Western Michigan,Mid-American,0.005,0.827,0.421
2017,West Virginia,Big 12,0.016,0.581,0.337
2017,Wisconsin,Big Ten,0.558,0.317,0.461
2017,Wyoming,Mountain West,0.997,0.242,0.465
2018,Air Force,Mountain West,0.878,0.688,0.72
2018,Akron,Mid-American,0.394,0.481,0.375
2018,Alabama,SEC,0.983,0.773,0.756
2018,Appalachian State,Sun Belt,0.034,0.709,0.455
2018,Arizona,Pac-12,0.622,0.552,0.632
2018,Arizona State,Pac-12,0.991,0.302,0.694
2018,Arkansas,SEC,0.449,0.678,0.653
2018,Arkansas State,Sun Belt,0.989,0.697,0.742
2018,Army,FBS Independents,0.364,0.659,0.63
2018,Auburn,SEC,0.995,0.401,0.704
2018,Ball State,Mid-American,0.452,0.923,0.776
2018,Baylor,Big 12,0.445,0.732,0.689
2018,Boise State,Mountain West,0.768,0.552,0.602
2018,Boston College,ACC,0.705,0.627,0.698
2018,Bowling Green,Mid-American,0.497,0.376,0.414
2018,Buffalo,Mid-American,0.745,0.95,0.811
2018,BYU,FBS Independents,0.955,0.689,0.836
2018,California,Pac-12,1.0,0.647,0.824
2018,Central Michigan,Mid-American,0.049,0.836,0.384
