team,year,conference,elo,fpi,conference_rating
USC,2006,Pac-10,2091.0,24.391,8.51
Utah,2006,Mountain West,1670.0,5.661,1.011111111111111
Utah State,2006,Western Athletic,867.0,-23.195,-7.266666666666667
UTEP,2006,Conference USA,1296.0,-7.725,-6.133333333333333
Vanderbilt,2006,SEC,1392.0,-0.066,13.25
Virginia,2006,ACC,1525.0,0.433,6.833333333333333
Virginia Tech,2006,ACC,1904.0,14.008,6.833333333333333
Wake Forest,2006,ACC,1696.0,6.521,6.833333333333333
Washington,2006,Pac-10,1411.0,4.731,8.51
Washington State,2006,Pac-10,1536.0,7.734,8.51
Western Michigan,2006,Mid-American,1451.0,-3.303,-11.166666666666666
West Virginia,2006,Big East,1876.0,17.276,11.75
Wisconsin,2006,Big Ten,1908.0,13.542,7.6454545454545455
Wyoming,2006,Mountain West,1421.0,-3.14,1.011111111111111
Air Force,2007,Mountain West,1626.0,3.691,0.5555555555555556
Akron,2007,Mid-American,1209.0,-11.925,-13.684615384615384
Alabama,2007,SEC,1626.0,8.765,15.366666666666667
Arizona,2007,Pac-10,1605.0,9.145,11.61
Arizona State,2007,Pac-10,1734.0,13.813,11.61
Arkansas,2007,SEC,1734.0,10.809,15.366666666666667
Arkansas State,2007,Sun Belt,1235.0,-10.488,-18.2375
Army,2007,FBS Independents,1114.0,-17.094,-17.6
Auburn,2007,SEC,1706.0,12.35,15.366666666666667
Ball State,2007,Mid-American,1453.0,-2.231,-13.684615384615384
Baylor,2007,Big 12,1172.0,-12.066,13.133333333333333
Boise State,2007,Western Athletic,1887.0,11.822,-8.833333333333334
Boston College,2007,ACC,1737.0,9.636,6.025
Bowling Green,2007,Mid-American,1260.0,-7.79,-13.684615384615384
Buffalo,2007,Mid-American,1266.0,-10.705,-13.684615384615384
BYU,2007,Mountain West,1796.0,12.001,0.5555555555555556
California,2007,Pac-10,1674.0,12.125,11.61
Central Michigan,2007,Mid-American,1445.0,-4.859,-13.684615384615384
Cincinnati,2007,Big East,1791.0,12.344,11.525
Clemson,2007,ACC,1918.0,15.249,6.025
Colorado,2007,Big 12,1520.0,3.286,13.133333333333333
Colorado State,2007,Mountain West,1374.0,-3.467,0.5555555555555556
Connecticut,2007,Big East,1543.0,5.745,11.525
Duke,2007,ACC,1166.0,-9.482,6.025
East Carolina,2007,Conference USA,1461.0,-1.222,-8.066666666666666
Eastern Michigan,2007,Mid-American,1212.0,-13.091,-13.684615384615384
Florida,2007,SEC,1985.0,20.46,15.366666666666667
Florida Atlantic,2007,Sun Belt,1326.0,-6.435,-18.2375
Florida International,2007,Sun Belt,889.0,-22.426,-18.2375
Florida State,2007,ACC,1589.0,7.551,6.025
Fresno State,2007,Western Athletic,1535.0,0.559,-8.833333333333334
Georgia,2007,SEC,1913.0,15.129,15.366666666666667
Georgia Tech,2007,ACC,1586.0,4.876,6.025
Hawai'i,2007,Western Athletic,1702.0,8.279,-8.833333333333334
Houston,2007,Conference USA,1437.0,-1.133,-8.066666666666666
Illinois,2007,Big Ten,1613.0,9.088,9.5
Indiana,2007,Big Ten,1470.0,0.024,9.5
Iowa,2007,Big Ten,1506.0,0.795,9.5
Iowa State,2007,Big 12,1343.0,-7.412,13.133333333333333
Kansas,2007,Big 12,1965.0,18.855,13.133333333333333
Kansas State,2007,Big 12,1492.0,6.428,13.133333333333333
Kent State,2007,Mid-American,1162.0,-12.427,-13.684615384615384
Kentucky,2007,SEC,1616.0,9.965,15.366666666666667
Louisiana,2007,Sun Belt,1108.0,-16.098,-18.2375
Louisiana Monroe,2007,Sun Belt,1291.0,-8.913,-18.2375
Louisiana Tech,2007,Western Athletic,1084.0,-12.182,-8.833333333333334
Louisville,2007,Big East,1646.0,8.039,11.525
LSU,2007,SEC,2040.0,22.707,15.366666666666667
Marshall,2007,Conference USA,1308.0,-8.866,-8.066666666666666
Maryland,2007,ACC,1647.0,5.151,6.025
Memphis,2007,Conference USA,1239.0,-9.945,-8.066666666666666
Miami,2007,ACC,1406.0,1.346,6.025
Miami (OH),2007,Mid-American,1248.0,-10.396,-13.684615384615384
Michigan,2007,Big Ten,1790.0,11.415,9.5
Michigan State,2007,Big Ten,1684.0,7.183,9.5
Middle Tennessee,2007,Sun Belt,1283.0,-8.282,-18.2375
Minnesota,2007,Big Ten,1413.0,-6.155,9.5
Mississippi State,2007,SEC,1504.0,1.63,15.366666666666667
Missouri,2007,Big 12,2013.0,20.016,13.133333333333333
Navy,2007,FBS Independents,1537.0,-2.59,-17.6
NC State,2007,ACC,1333.0,-2.686,6.025
Nebraska,2007,Big 12,1575.0,4.099,13.133333333333333
Nevada,2007,Western Athletic,1450.0,-4.562,-8.833333333333334
