name,team,conference,year,pick,round,position
Anthony Henry,South Florida,FBS Independents,2001,2,4,Defensive Back
Bill Gramatica,South Florida,FBS Independents,2001,3,4,Place Kicker
Roberto Garza,Texas A&M-Kingsville,,2001,4,4,Center
Rudi Johnson,Auburn,SEC,2001,5,4,Running Back
Jamie Henderson,Georgia,SEC,2001,6,4,Defensive Back
Matt Stewart,Vanderbilt,SEC,2001,7,4,Linebacker
Karon Riley,Minnesota,Big Ten,2001,8,4,Defensive End
Orlando Huff,Fresno State,Western Athletic,2001,9,4,Linebacker
Bill Ferrario,Wisconsin,Big Ten,2001,10,4,Offensive Guard
Chris Weinke,Florida State,ACC,2001,11,4,Quarterback
Monty Beisel,Kansas State,Big 12,2001,12,4,Defensive End
George Layne,TCU,Western Athletic,2001,13,4,Running Back
Sage Rosenfels,Iowa State,Big 12,2001,14,4,Quarterback
Brandon Spoon,North Carolina,ACC,2001,15,4,Linebacker
Mathias Nkwenti,Temple,Big East,2001,16,4,Offensive Tackle
Carlos Polk,Nebraska,Big 12,2001,17,4,Linebacker
Ben Hamilton,Minnesota,Big Ten,2001,18,4,Center
Cedric Scott,Southern Mississippi,Conference USA,2001,19,4,Defensive End
Moran Norris,Kansas,Big 12,2001,20,4,Running Back
Milton Wynn,Washington State,Pac-10,2001,21,4,Wide Receiver
John Howell,Colorado State,Mountain West,2001,22,4,Defensive Back
Ryan Diem,Northern Illinois,Mid-American,2001,23,4,Offensive Guard
Jabari Holloway,Notre Dame,FBS Independents,2001,24,4,Tight End
Nick Harris,California,Pac-10,2001,25,4,Punter
Correll Buckhalter,Nebraska,Big 12,2001,26,4,Running Back
Markus Steele,USC,Pac-10,2001,27,4,Linebacker
Marcus Bell,Memphis,Conference USA,2001,28,4,Defensive Tackle
Justin McCareins,Northern Illinois,Mid-American,2001,29,4,Wide Receiver
Jesse Palmer,Florida,SEC,2001,30,4,Quarterback
Edgerton Hartwell,Western Illinois,,2001,31,4,Linebacker
Curtis Fuller,TCU,Western Athletic,2001,32,4,Defensive Back
Floyd Womack,Mississippi State,SEC,2001,33,4,Offensive Tackle
Brandon Manumaleuna,Arizona,Pac-10,2001,34,4,Tight End
Shawn Worthen,TCU,Western Athletic,2001,35,4,Defensive Tackle
Cedric James,TCU,Western Athletic,2001,36,4,Wide Receiver
Elliot Silvers,Washington,Pac-10,2001,1,5,Offensive Tackle
Mario Fatafehi,Kansas State,Big 12,2001,2,5,Defensive Tackle
Jeremiah Pharms,Washington,Pac-10,2001,3,5,Linebacker
Victor Leyva,Arizona State,Pac-10,2001,4,5,Offensive Guard
Vinny Sutherland,Purdue,Big Ten,2001,5,5,Wide Receiver
Matt Lehr,Virginia Tech,Big East,2001,6,5,Center
Bernard Robertson,Tulane,Conference USA,2001,7,5,Center
Zeke Moreno,USC,Pac-10,2001,8,5,Linebacker
Alex Bannister,Eastern Kentucky,,2001,9,5,Wide Receiver
Billy Baber,Virginia,ACC,2001,10,5,Tight End
David Leaverton,Tennessee,SEC,2001,11,5,Punter
Jarrod Cooper,Kansas State,Big 12,2001,12,5,Defensive Back
Marques Sullivan,Illinois,Big Ten,2001,13,5,Offensive Tackle
Jerametrius Butler,Kansas State,Big 12,2001,14,5,Defensive Back
Chukky Okobi,Purdue,Big Ten,2001,15,5,Center
Tony Stewart,Penn State,Big Ten,2001,16,5,Tight End
Scotty Anderson,Grambling,,2001,17,5,Wide Receiver
Mike McMahon,Rutgers,Big East,2001,18,5,Quarterback
Derrick Blaylock,Stephen F. Austin,,2001,19,5,Running Back
Russ Hochstein,Nebraska,Big 12,2001,20,5,Offensive Guard
Raymond Walls,Southern Mississippi,Conference USA,2001,21,5,Defensive Back
Onome Ojo,UC Davis,,2001,22,5,Wide Receiver
Darnerien McCants,Delaware State,,2001,23,5,Wide Receiver
A.J. Feeley,Oregon,Pac-10,2001,24,5,Quarterback
Shawn Draper,Alabama,SEC,2001,25,5,Offensive Tackle
Patrick Chukwurah,Wyoming,Mountain West,2001,26,5,Linebacker
Raymond Perryman,Northern Arizona,,2001,27,5,Defensive Back
Eddie Berlin,Northern Iowa,,2001,28,5,Wide Receiver
John Markham,Vanderbilt,SEC,2001,29,5,Place Kicker
Chris Barnes,New Mexico State,Big West,2001,30,5,Running Back
Jonathan Carter,Troy,,2001,31,5,Wide Receiver
Hakim Akbar,Washington,Pac-10,2001,32,5,Defensive Back
Brandon Winey,LSU,SEC,2001,1,6,Offensive Tackle
Michael Jameson,Texas A&M,Big 12,2001,2,6,Defensive Back
Bobby Newcombe,Nebraska,Big 12,2001,3,6,Wide Receiver
Randy Garner,Arkansas,SEC,2001,4,6,Defensive End
Riall Johnson,Stanford,Pac-10,2001,5,6,Linebacker
Cedrick Wilson,Tennessee,SEC,2001,6,6,Wide Receiver
Chad Ward,Washington,Pac-10,2001,7,6,Offensive Guard
Daleroy Stewart,Southern Mississippi,Conference USA,2001,8,6,Defensive Tackle
Josh Booty,LSU,SEC,2001,9,6,Quarterback
