team,year,conference,expected_wins,win_pct,recent_win_pct,prev_win_pct,elo,fpi,conference_rating,recruiting_rank,recruiting_rating,talent_level,blue_chip,blue_chip_ratio,passing_usage,rushing_usage,usages,totalYards,turnover_margin,total_tds,off_drives,def_drives,off_explode,def_explode,off_ppa,def_ppa,off_success_rate,def_success_rate,coach,career_win_pct,sor,sos
Charlotte,2021,Conference USA,3.2,0.4166666666666667,0.3134328358208955,0.3333333333333333,1299.0,-12.58,-6.635714285714286,101,134.83,130.125,0.0,0.0,1.0,0.57,0.815,2267.0,2.0,21.0,71,70,1.3425097053838584,1.230970599437511,0.132716813121794,0.2469307025250247,0.393719806763285,0.4776902887139108,Will Healy,0.4736842105263157,104.0,128
Cincinnati,2014,American Athletic,7.6,0.6923076923076923,0.6271186440677966,0.6923076923076923,1656.0,5.657,-1.67,65,161.43,169.44750000000002,0.0,0.0238095238095238,0.106,0.687,0.44,6137.0,-7.0,56.0,165,163,0.9484483419902758,0.928057084907724,0.115680820817487,0.0755496146979678,0.4668117519042437,0.400990099009901,Tommy Tuberville,0.6318181818181818,56.0,71
Cincinnati,2016,American Athletic,4.2,0.3333333333333333,0.625615763546798,0.5384615384615384,1469.0,1.442,-1.7583333333333333,74,152.74,159.7375,0.0,0.0138888888888888,0.977,0.705,0.643,6992.0,-19.0,54.0,178,171,1.2195963930472955,1.1827823564954765,0.2413962804169467,0.177212064972895,0.4916044776119403,0.4250269687162891,Tommy Tuberville,0.6300813008130082,68.0,73
Cincinnati,2017,American Athletic,4.0,0.3333333333333333,0.6093023255813953,0.3333333333333333,1309.0,-5.462,0.1583333333333333,63,167.8,161.105,0.0,0.0,0.729,0.47,0.613,4489.0,1.0,27.0,155,156,1.1747193497220558,1.093172618336295,0.0652301124087609,0.1372954461202064,0.39930151338766,0.441207075962539,Luke Fickell,0.4615384615384615,96.0,73
Cincinnati,2018,American Athletic,10.3,0.8461538461538461,0.5947136563876652,0.3333333333333333,1184.0,-12.328,-1.6083333333333334,48,192.64,168.9075,1.0,0.0116279069767441,0.973,0.655,0.765,4221.0,-6.0,31.0,141,138,1.2261970960899922,1.2391151416073842,0.1284841582955159,0.2193878388561224,0.4029666254635352,0.4324022346368715,Luke Fickell,0.4,100.0,95
Cincinnati,2019,American Athletic,9.1,0.7857142857142857,0.6083333333333333,0.8461538461538461,1687.0,6.34,-3.0416666666666665,79,158.17,167.83749999999998,0.0,0.0121951219512195,0.863,0.945,0.861,5941.0,-2.0,59.0,171,175,1.3003306889596038,1.2163663763759605,0.2605549034232792,0.0191692565970429,0.4490216271884655,0.3495838287752675,Luke Fickell,0.5526315789473685,25.0,70
Cincinnati,2020,American Athletic,9.0,0.9,0.6181102362204725,0.7857142857142857,1759.0,8.053,1.35,40,194.95,178.39,3.0,0.0465116279069767,0.993,0.464,0.612,5489.0,14.0,49.0,176,179,1.1677755565955694,1.176219182134821,0.1829379381839375,0.0857175417740226,0.4384384384384384,0.3939698492462311,Luke Fickell,0.6153846153846154,22.0,54
Cincinnati,2021,American Athletic,10.9,0.9285714285714286,0.6287878787878788,0.9,1926.0,14.78,-0.3166666666666666,42,190.66,184.105,0.0,0.0449438202247191,0.952,0.552,0.735,4512.0,4.0,49.0,124,125,1.377099273373943,1.2565295561031198,0.3106183481275461,0.015488494087659,0.4652567975830816,0.3485714285714286,Luke Fickell,0.6612903225806451,10.0,54
Clemson,2014,ACC,9.8,0.7692307692307693,0.6536312849162011,0.8461538461538461,1928.0,19.981,10.264285714285714,16,240.73,250.4525,10.0,0.4352941176470588,0.121,0.325,0.288,6600.0,6.0,65.0,179,185,0.9133857041427876,1.0591400403803166,0.1343786524738816,0.0167802725741074,0.4695378151260504,0.3438228438228438,Dabo Swinney,0.6891891891891891,11.0,50
Clemson,2015,ACC,14.1,0.9333333333333332,0.6614583333333334,0.7692307692307693,1902.0,16.461,8.907142857142857,9,277.98,252.525,13.0,0.5119047619047619,0.331,0.757,0.632,5308.0,6.0,43.0,184,188,1.11861108137055,1.275693250875662,0.1136421327739407,-0.0226411788396869,0.4177467597208374,0.3159763313609467,Dabo Swinney,0.7011494252873564,16.0,17
Clemson,2016,ACC,13.5,0.9333333333333332,0.6811594202898551,0.9333333333333332,2047.0,22.273,9.542857142857144,11,271.16,259.8825,13.0,0.5227272727272727,0.994,0.899,0.89,7718.0,-2.0,69.0,210,212,1.163138140009572,1.430050153034614,0.2842296997739583,0.0041989833957226,0.4869067103109656,0.3278688524590163,Dabo Swinney,0.7352941176470589,2.0,9
