year,team,sor,sos,team_fixed
2013,Southern Mississippi,121,81,Southern Mississippi
2013,UMass,122,83,UMass
2013,Western Michigan,123,89,Western Michigan
2013,Florida International,124,93,Florida International
2013,Miami (OH),125,92,Miami (OH)
2013,Georgia State,125,117,Georgia State
2014,Ohio State,1,35,Ohio State
2014,Alabama,2,4,Alabama
2014,Florida State,3,24,Florida State
2014,TCU,4,45,TCU
2014,Oregon,5,13,Oregon
2014,Michigan State,6,53,Michigan State
2014,Baylor,7,54,Baylor
2014,UCLA,8,1,UCLA
2014,Missouri,9,16,Missouri
2014,Mississippi State,10,44,Mississippi State
2014,Georgia,11,20,Georgia
2014,Ole Miss,12,5,Ole Miss
2014,Georgia Tech,13,25,Georgia Tech
2014,Arizona State,14,26,Arizona State
2014,Arizona,15,22,Arizona
2014,Clemson,16,50,Clemson
2014,Auburn,17,2,Auburn
2014,Wisconsin,18,57,Wisconsin
2014,Kansas State,19,39,Kansas State
2014,Utah,20,17,Utah
2014,LSU,21,7,LSU
2014,USC,22,8,USC
2014,Texas A&M,23,15,Texas A&M
2014,Boise State,24,77,Boise State
2014,Stanford,25,23,Stanford
2014,Marshall,26,126,Marshall
2014,Louisville,27,47,Louisville
2014,Arkansas,28,3,Arkansas
2014,Memphis,29,82,Memphis
2014,Oklahoma,30,21,Oklahoma
2014,Florida,31,33,Florida
2014,Nebraska,32,63,Nebraska
2014,Notre Dame,33,29,Notre Dame
2014,Minnesota,34,51,Minnesota
2014,West Virginia,35,9,West Virginia
2014,Rutgers,36,42,Rutgers
2014,Tennessee,37,18,Tennessee
2014,Oklahoma State,38,38,Oklahoma State
2014,Colorado State,39,92,Colorado State
2014,Duke,40,68,Duke
2014,South Carolina,41,28,South Carolina
2014,Northern Illinois,42,108,Northern Illinois
2014,Cincinnati,43,71,Cincinnati
2014,Maryland,44,32,Maryland
2014,Washington,45,48,Washington
2014,Texas,46,11,Texas
2014,NC State,47,66,NC State
2014,Air Force,48,113,Air Force
2014,Utah State,49,95,Utah State
2014,UCF,50,87,UCF
2014,Georgia Southern,51,122,Georgia Southern
2014,Virginia Tech,52,49,Virginia Tech
2014,BYU,53,67,BYU
2014,California,54,10,California
2014,Boston College,55,58,Boston College
2014,Louisiana Tech,56,86,Louisiana Tech
2014,Louisiana,57,107,Louisiana
2014,Miami,58,31,Miami
2014,Kentucky,59,36,Kentucky
2014,Toledo,60,101,Toledo
2014,Iowa,61,59,Iowa
2014,East Carolina,62,76,East Carolina
2014,Penn State,63,64,Penn State
2014,North Carolina,64,34,North Carolina
2014,Oregon State,65,37,Oregon State
2014,Virginia,66,30,Virginia
2014,Rice,67,89,Rice
2014,Navy,68,81,Navy
2014,Illinois,69,55,Illinois
2014,Michigan,70,43,Michigan
2014,Houston,71,100,Houston
2014,Northwestern,72,46,Northwestern
2014,Texas Tech,73,27,Texas Tech
2014,Pittsburgh,74,62,Pittsburgh
2014,Western Kentucky,75,105,Western Kentucky
2014,Nevada,76,78,Nevada
2014,Western Michigan,77,117,Western Michigan
2014,Temple,78,80,Temple
2014,Washington State,79,12,Washington State
2014,UAB,80,90,UAB
2014,Kansas,81,19,Kansas
2014,UTEP,82,102,UTEP
2014,Bowling Green,83,110,Bowling Green
2014,Indiana,84,56,Indiana
2014,San Diego State,85,104,San Diego State
2014,Middle Tennessee,86,96,Middle Tennessee
2014,Arkansas State,87,109,Arkansas State
2014,Appalachian State,88,125,Appalachian State
2014,Central Michigan,89,115,Central Michigan
2014,Fresno State,90,73,Fresno State
2014,Old Dominion,91,106,Old Dominion
2014,Texas State,92,127,Texas State
2014,Vanderbilt,93,41,Vanderbilt
2014,Syracuse,94,40,Syracuse
2014,Iowa State,95,6,Iowa State
2014,Ohio,96,114,Ohio
2014,South Alabama,97,99,South Alabama
2014,Purdue,98,52,Purdue
2014,Colorado,99,14,Colorado
2014,Wyoming,100,72,Wyoming
2014,South Florida,101,70,South Florida
2014,Wake Forest,102,61,Wake Forest
2014,Tulane,103,65,Tulane
2014,Louisiana Monroe,104,83,Louisiana Monroe
