,id,team1,team1_pts,team1_home_away,team1_rushingTDs,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_fumblesRecovered,team1_totalFumbles,team1_possessionTime,team1_interceptions,team1_fumblesLost,team1_turnovers,team1_totalPenaltiesYards,team1_yardsPerRushAttempt,team1_rushingAttempts,team1_rushingYards,team1_yardsPerPass,team1_completionAttempts,team1_netPassingYards,team1_totalYards,team1_fourthDownEff,team1_thirdDownEff,team1_firstDowns,team2,team2_pts,team2_home_away,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_fumblesRecovered,team2_totalFumbles,team2_possessionTime,team2_interceptions,team2_fumblesLost,team2_turnovers,team2_totalPenaltiesYards,team2_yardsPerRushAttempt,team2_rushingAttempts,team2_rushingYards,team2_yardsPerPass,team2_completionAttempts,team2_netPassingYards,team2_totalYards,team2_fourthDownEff,team2_thirdDownEff,team2_firstDowns,team1_tacklesForLoss,team1_defensiveTDs,team1_tackles,team1_sacks,team1_qbHurries,team1_passesDeflected,team2_tacklesForLoss,team2_defensiveTDs,team2_tackles,team2_sacks,team2_qbHurries,team2_passesDeflected,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns
1271,401539976,Norfolk State,44,away,3,2,70,0,1,14,42,0,3,0,1,36:08,0,1,1,11-80,6.1,47,285,14.5,8-12,174,459,1-1,4-11,18,Delaware State,21,home,2,,,,1,42,0,7,3,,,,1,0,23:52,3,0,3,3-17,2.6,26,68,7.8,9-17,133,201,0-0,2-7,13,,,,,,,,,,,,,9,0,2
1272,401534857,North Carolina Central,20,away,1,1,126,0,7,2,,,,0,,25:32,0,0,0,9-62,5.5,22,121,3.1,11-25,77,198,1-1,3-11,10,Howard,50,home,4,67,0,2,3,45,0,2,6,,,,0,,34:28,0,0,0,6-55,6.8,36,244,8.4,23-33,277,521,3-3,6-13,28,,,,,,,,,,,,,85,0,1
1273,401539985,South Carolina State,17,home,0,1,39,0,3,5,,,,2,1,30:52,2,1,3,2-20,4.2,33,137,3.9,4-14,54,191,1-1,2-10,11,Morgan State,20,away,2,7,0,1,0,94,0,4,2,0,0,2,1,2,29:08,0,2,2,3-35,3.2,49,158,6.1,5-14,86,244,0-2,4-12,17,,,,,,,,,,,,,6,0,1
1274,401540374,South Dakota,14,home,2,0,16,0,1,2,0,0,1,0,1,32:14,1,1,2,6-45,2.8,30,84,11.4,21-29,332,416,0-1,6-11,22,North Dakota,10,away,0,,,,0,99,1,1,4,,,,1,0,27:46,1,0,1,3-32,3.3,29,95,4.8,16-24,116,211,1-2,4-11,14,,,,,,,,,,,,,14,0,1
1275,401540010,Central Connecticut,24,away,1,2,72,0,4,6,,,,0,3,26:25,2,1,3,1-5,4.3,35,152,8.2,12-19,156,308,0-0,3-8,21,Merrimack,35,home,2,13,0,1,3,91,0,4,5,28,0,2,1,0,33:35,0,0,0,6-47,4.2,40,169,12.7,11-15,190,359,2-3,5-12,15,,,,,,,,,,,,,9,0,2
1276,401540387,Southern Illinois,10,away,1,0,83,0,3,4,,,,1,0,21:44,1,0,1,4-40,2.1,26,55,5.2,16-29,151,206,0-1,4-13,12,North Dakota State,34,home,4,-2,0,2,0,9,0,1,10,0,0,1,0,2,38:16,0,1,1,6-50,4.8,45,217,12.2,15-19,232,449,0-0,7-12,21,,,,,,,,,,,,,0,0,1
1277,401540453,Youngstown State,0,home,0,0,12,0,3,0,,,,0,1,26:29,1,0,1,4-25,1.9,25,47,5.3,18-30,160,207,0-2,2-11,16,South Dakota State,27,away,1,1,0,1,3,40,0,1,10,5,0,1,0,1,33:31,0,0,0,12-119,5.7,29,166,9.8,22-33,324,490,1-1,6-13,22,,,,,,,,,,,,,9,0,1
1278,401540305,Western Illinois,6,away,0,1,81,0,4,0,,,,0,,26:47,1,0,1,4-13,1.6,31,50,5.9,18-30,177,227,1-4,2-14,13,Indiana State,27,home,2,28,0,2,1,0,0,1,9,20,0,1,0,2,33:13,0,0,0,3-30,5.5,38,209,6.7,11-20,134,343,1-1,6-15,15,,,,,,,,,,,,,,,
1279,401540352,Northern Iowa,16,away,0,1,59,0,3,10,0,0,1,1,0,27:27,2,0,2,12-103,4.2,28,117,5.2,14-35,182,299,0-2,5-14,17,Missouri State,35,home,1,15,0,1,4,31,0,2,5,28,0,2,0,1,32:33,1,1,2,10-104,3.5,30,104,9.3,27-35,326,430,2-2,5-12,24,,,,,,,,,,,,,10,0,1
1280,401531400,UT San Antonio,34,home,2,1,,,,10,,,,1,2,30:11,0,1,1,5-52,4.6,43,199,6.7,16-27,182,381,1-1,4-12,23,Rice,14,away,0,,,,2,14,0,1,2,,,,1,3,29:49,0,1,1,5-34,1.7,28,47,6.5,17-28,182,229,2-2,2-12,17,10,1,42,6,1,3,4,0,38,1,2,7,67,1,4
