,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns
84,272492132,Cincinnati,34,home,1,1,32,1,5,2,10,14,2-11,0-0,229,230,15-23,8.7,30,33,0.9,6-60,2,2,0,16:58,Oregon State,3,away,2,0,29,0,3,0,3,,,,17,8-18,0-1,310,275,32-54,5.1,36,21,1.7,4-45,7,1,6,19:27,110,0,6,,,,,,
85,272510265,San Diego State,17,away,0,1,,,,1,5,21,7-15,1-2,399,311,30-47,6.1,114,23,5.0,13-105,1,0,1,17:51,Washington State,45,home,0,1,6,0,3,5,9,0,0,1,36,7-11,0-1,654,469,38-47,10.0,185,35,5.3,9-80,1,0,1,18:49,0,0,1,,,,,,
86,272510221,Grambling,10,away,2,0,1,0,1,1,4,17,6-17,0-3,239,155,19-40,3.9,84,31,2.7,14-108,3,0,3,18:36,Pittsburgh,34,home,0,3,23,0,2,1,10,17,0,3,14,4-11,0-0,321,209,15-23,8.8,119,35,3.4,10-91,4,2,2,18:04,13,0,2,121,0,5,,,
87,272510276,Marshall,23,home,0,0,31,0,5,2,11,17,5-15,0-0,387,281,20-32,8.3,121,32,3.8,5-28,1,1,0,17:21,West Virginia,48,away,1,5,32,0,4,2,6,,,,27,4-11,0-0,511,155,13-18,8.3,362,51,7.1,2-30,0,0,0,19:19,,,,,,,,,
88,272510213,Notre Dame,10,away,2,0,47,0,4,0,4,9,2-16,0-1,144,194,17-32,4.5,0,26,0.0,13-82,1,0,1,15:34,Penn State,31,home,0,2,100,1,8,1,7,0,0,1,19,9-16,0-0,295,149,12-22,6.0,164,46,3.6,7-65,3,2,1,20:16,73,1,1,,,,,,
89,272510154,Wake Forest,17,home,1,2,14,0,2,0,5,18,9-20,1-2,376,143,12-24,5.8,236,53,4.5,6-51,2,0,2,19:22,Nebraska,20,away,0,1,0,0,3,1,8,3,0,2,21,3-15,2-3,373,258,24-41,6.3,115,34,3.4,5-21,3,1,2,17:18,0,0,2,,,,,,
90,272512306,San José State,14,away,0,0,-6,0,2,2,2,20,6-15,1-2,293,243,28-41,5.4,73,31,2.4,10-53,0,0,0,21:09,Kansas State,34,home,0,3,81,0,4,1,10,,,,25,5-10,0-0,425,272,25-36,7.6,153,27,5.7,9-96,2,0,2,15:31,0,0,2,,,,,,
91,272510145,Ole Miss,25,home,0,1,0,0,2,3,1,26,7-15,1-2,534,317,23-41,7.4,229,38,6.0,5-31,2,1,1,18:29,Missouri,38,away,1,0,14,0,4,5,8,0,0,1,29,9-16,0-0,548,341,31-43,7.7,218,37,5.9,4-12,0,0,0,17:02,,,,,,,,,
92,272512305,Southeastern Louisiana,0,away,0,0,,,,0,,8,5-18,1-3,75,106,22-34,3.1,-31,29,-1.1,3-33,0,0,0,20:01,Kansas,62,home,0,3,76,0,5,3,10,,,,22,8-12,0-1,501,289,14-24,11.7,221,39,5.7,3-15,0,0,0,16:13,,,,157,0,9,,,
93,272510066,Northern Iowa,24,away,2,1,13,0,1,2,6,19,7-16,1-1,327,180,23-29,6.2,147,41,3.6,6-55,0,0,0,20:26,Iowa State,13,home,0,2,-5,0,2,0,1,,,,25,7-16,3-5,399,274,29-48,5.6,129,36,3.6,1-5,4,2,2,16:29,31,0,2,52,0,3,,,
