,id,team1,team1_pts,team1_home_away,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_fumblesRecovered,team1_totalFumbles,team1_tacklesForLoss,team1_defensiveTDs,team1_tackles,team1_sacks,team1_qbHurries,team1_passesDeflected,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_rushingTDs,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_fumblesRecovered,team2_totalFumbles,team2_tacklesForLoss,team2_defensiveTDs,team2_tackles,team2_sacks,team2_qbHurries,team2_passesDeflected,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns
776,401020790,Eastern Michigan,28,away,4,26,0,2,0,31,0,2,4,46,0,1,2,,,,,,,,14,2-15,2-2,376,139,13-26,5.3,237,44,5.4,3-45,2,1,1,30:37,Kent State,20,home,1,0,137,0,4,8,1,4,6,1,42,2,1,5,21,5-17,1-4,388,209,19-35,6.0,179,45,4.0,4-45,3,2,1,29:23,13,0,1,0,0,2
777,401020789,Central Michigan,13,away,0,14,0,2,1,64,0,3,1,11,0,1,3,0,3,1,39,0,3,4,16,2-17,0-0,181,133,18-43,3.1,48,32,1.5,16-132,1,0,1,28:31,Toledo,51,home,5,1,13,0,2,9,0,3,13,1,38,6,2,9,28,5-12,0-0,473,180,14-31,5.8,293,49,6.0,7-70,4,3,1,31:29,21,1,1,104,0,8
778,401020786,Northern Illinois,21,away,1,-2,0,2,1,64,0,4,3,,,,1,2,7,0,54,6,2,2,16,7-15,0-1,262,156,14-21,7.4,106,43,2.5,5-45,3,1,2,24:57,Western Michigan,28,home,3,0,44,0,2,8,1,1,10,0,45,4,0,1,22,8-18,1-1,379,285,19-35,8.1,94,46,2.0,2-10,1,1,0,35:03,6,0,2,,,
779,401020788,Bowling Green,14,home,0,6,0,1,2,,,,2,0,0,1,0,,,,,,,,6,1-8,0-0,205,147,9-18,8.2,58,19,3.1,4-40,2,1,1,16:09,Buffalo,44,away,4,1,,,,6,1,0,3,1,15,2,2,2,30,11-18,3-3,483,151,12-22,6.9,332,62,5.4,4-25,1,0,1,42:30,11,0,1,0,0,1
780,401013184,Syracuse,42,away,3,27,0,2,3,23,0,1,6,0,0,2,1,0,6,0,25,3,0,2,28,11-21,1-2,560,362,21-35,10.3,198,57,3.5,11-119,1,0,1,36:02,Boston College,21,home,0,3,144,0,5,3,0,,7,0,49,2,5,3,18,5-15,1-2,356,251,17-37,6.8,105,32,3.3,6-50,4,2,2,22:41,34,0,1,21,0,1
781,401013187,North Carolina,28,home,2,13,0,2,1,67,0,4,8,0,0,1,0,1,7,0,34,2,4,4,19,4-16,1-1,429,276,19-40,6.9,153,35,4.4,3-40,1,0,1,27:14,NC State,34,away,5,0,,,,4,0,1,5,0,38,1,2,7,22,7-16,0-0,406,200,16-29,6.9,206,48,4.3,3-35,1,0,1,32:46,5,0,1,,,
782,401013185,Duke,7,home,0,15,0,2,1,148,0,8,1,,,,0,4,5,0,71,2,1,0,16,6-17,1-1,251,145,17-36,4.0,106,34,3.1,3-25,4,3,1,22:39,Wake Forest,59,away,3,4,42,0,2,11,3,0,3,1,55,2,2,7,29,12-18,0-0,517,177,18-23,7.7,340,57,6.0,4-30,0,0,0,37:21,20,1,1,6,0,1
783,401013183,Virginia,31,away,1,8,0,3,3,28,0,1,7,62,0,2,0,5,3,0,38,1,5,8,22,5-13,0-0,424,259,14-29,8.9,165,37,4.5,7-62,2,2,0,28:15,Virginia Tech,34,home,2,1,,,,10,3,3,5,1,30,1,5,4,21,6-18,1-1,453,199,14-34,5.9,254,45,5.6,7-70,2,0,2,31:43,,,,0,0,1
784,401013186,Pittsburgh,3,away,0,1,0,2,0,18,0,1,3,,,,2,1,1,0,26,1,1,5,11,1-15,0-1,200,131,15-24,5.5,69,38,1.8,10-100,1,1,0,35:43,Miami,24,home,2,0,,,,6,1,3,14,1,42,6,1,3,12,2-12,1-2,345,52,6-24,2.2,293,32,9.2,3-30,2,2,0,23:54,,,,71,1,3
785,401013078,TCU,31,home,1,,,,2,21,0,1,7,7,0,1,1,1,4,1,34,1,3,8,22,4-14,0-0,423,180,16-25,7.2,243,45,5.4,4-30,1,1,0,39:06,Oklahoma State,24,away,3,0,43,0,3,6,1,3,9,0,41,1,3,4,15,5-15,0-2,280,181,17-40,4.5,99,32,3.1,6-76,2,1,1,20:54,,,,,,
786,401013047,Iowa State,42,home,3,11,0,2,2,125,0,6,6,,,,1,1,5,1,51,2,4,2,22,5-10,2-3,493,337,20-27,12.5,156,32,4.9,5-56,3,1,2,23:39,Kansas State,38,away,2,3,113,0,7,8,1,1,4,0,38,1,0,1,21,6-14,1-2,428,183,18-27,6.8,245,47,5.2,7-61,1,1,0,35:18,18,0,2,,,
