,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted
554,243180201,Oklahoma,30,home,0,1,0,0,5,3,6,24,6-12,1-2,511,413,30-36,11.5,98,31,3.2,0-0,0,0,0,20:01,Nebraska,3,away,0,0,0,0,1,0,3,,,,13,4-11,0-1,274,75,8-13,5.6,201,40,5.0,0-0,1,0,1,16:29,10,0,1
555,243182305,Texas,27,away,1,2,1,0,3,1,9,28,6-18,1-1,581,304,22-40,7.2,292,49,6.0,0-0,2,0,2,20:12,Kansas,23,home,0,1,4,0,3,1,11,47,0,2,16,4-15,0-1,348,313,23-41,7.5,40,27,1.5,0-0,2,1,1,15:47,0,0,1
556,243180245,Texas A&M,32,home,0,3,-1,0,2,1,8,22,4-13,0-0,436,260,16-27,9.4,182,38,4.8,0-0,0,0,0,18:03,Texas Tech,25,away,0,1,25,0,4,2,5,,,,22,4-14,0-1,411,299,31-50,5.9,117,26,4.5,0-0,3,0,3,18:38,38,0,3
557,243180197,Baylor,21,away,0,1,48,0,2,2,3,20,7-15,0-2,398,282,19-39,6.9,127,33,3.8,0-0,1,0,1,15:17,Oklahoma State,49,home,0,4,85,1,2,2,7,0,0,1,24,6-12,2-2,469,164,8-15,10.9,305,54,5.6,0-0,0,0,0,21:25,,,
558,243170235,Memphis,30,home,0,3,19,0,6,1,,22,9-17,0-0,527,248,21-37,6.7,280,42,6.7,0-0,2,1,1,18:08,Southern Mississippi,26,away,1,1,16,0,1,2,8,35,0,1,19,5-15,0-0,343,205,17-38,5.3,141,35,4.0,0-0,1,0,1,18:30,0,0,1
559,243180005,UAB,20,home,0,1,-1,0,2,2,2,18,1-8,1-2,358,238,14-25,9.5,120,31,3.9,0-0,2,1,1,15:35,Houston,7,away,1,1,10,0,3,0,1,0,0,1,22,8-21,2-4,298,230,19-39,5.0,102,48,2.1,0-0,0,0,0,21:05,,,
560,243150097,TCU,28,away,2,1,38,0,3,3,4,14,4-16,1-2,308,222,13-26,7.5,113,41,2.8,0-0,2,1,1,19:00,Louisville,55,home,1,2,55,0,10,5,13,0,0,1,28,4-13,1-1,587,384,18-32,11.7,213,43,5.0,0-0,2,2,0,17:07,,,
561,243182655,Army,31,away,2,2,13,0,2,1,7,18,6-15,2-3,320,237,22-41,5.7,88,27,3.3,0-0,2,0,2,16:39,Tulane,45,home,0,4,11,0,3,2,9,18,0,2,30,8-12,0-0,593,353,23-32,10.9,243,48,5.1,0-0,3,2,1,20:31,0,0,1
562,243180058,South Florida,41,home,0,4,17,0,3,0,11,24,8-13,1-2,509,233,12-16,14.6,276,56,4.9,0-0,3,3,0,20:20,East Carolina,17,away,3,0,,,,1,5,,,,17,6-13,0-1,247,192,15-27,5.8,91,30,3.0,0-0,2,0,2,16:22,34,1,2
563,243180189,Bowling Green,56,home,1,2,15,0,1,5,8,25,5-12,0-0,543,396,24-37,10.5,154,35,4.4,0-0,2,1,1,17:33,Marshall,35,away,1,3,,,,2,3,13,0,1,28,9-16,0-3,461,372,35-56,6.5,98,30,3.3,0-0,4,1,3,18:56,103,1,3
